3332000	الأردن يعلن تسلم جثمان منفذ عملية معبر اللنبي 
3332001	Myanmar'da Yagi Tayfunu nedeniyle ölenlerin sayısı 226'ya çıktı
3332002	سەرکۆمار ئەردۆغان: "تۆڕە کۆمەڵایەتییەکان هەتا دێ دەبنە ئامێرێکی ئۆپەراسیۆن"
3332003	من كاليفورنيا إلى كابل.. طبيب أمريكي يغير حياة طفل أفغاني (قصة إنسانية)
3332004	U Bosni i Hercegovini danas umjereno do pretežno oblačno vrijeme
3332005	Зеленский: Украина на следующей неделе представит союзникам собственный план победы
3332006	Li Batmanê du otomobîl li hev qelibîn û di qezayê da kesek mir û 4 kes jî birîndar bûn
3332007	U većem dijelu Bosne i Hercegovine saobraća se po vlažnom ili mokrom kolovozu
3332008	Kırkağaç kavunu kış sofraları için hazırlanıyor
3332009	إصابة جندي إسرائيلي بجروح خطيرة جنوب قطاع غزة 
3332010	Лесные пожары в Португалии унесли жизни 3 человек, 20 ранены 
3332011	U izraelskim napadima na Gazu tokom noći ubijeno šest osoba, mnogo povrijeđenih
3332012	گفت‌گوی علی‌اف و بلینکن در مورد روند صلح آذربایجان و ارمنستان
3332013	Meta, Rus medya kuruluşlarını yasakladı
3332015	Peru'da temmuzdan beri süren orman yangınlarında 15 kişi öldü
3332016	بلينكن يزور مصر لترؤس الحوار الاستراتيجي وبحث مفاوضات غزة 
3332017	Samsunspor, Süper Lig'de Başakşehir'i konuk edecek
3332018	پرواز مستقیم ترکیش‌ایرلاینز از استانبول به سیدنی از 4 دسامبر آغاز می‌شود
3332019	Dîmena dema girtina gumanbarê ku hewla êrîşî Trump dabû hat belavkirin
3332020	الجيش الإسرائيلي يعتقل 3 فلسطينيات بينهن زوجة القيادي الأسير أحمد سعدات
3332021	Hakkında cinsel saldırı suçlamaları bulunan Amerikalı rapçi "Diddy" gözaltına alındı
3332022	بطربوش وعكاز.. تركي في أوروبا يحيي ثقافة الزي العثماني (تقرير)
3332025	العام الدراسي في لبنان.. مدارس تأوي نازحين والتعليم في أزمة (تقرير)
3332026	В результате ночных атак Израиля на сектор Газа погибли не менее 6 человек 
3332027	Borsa güne yükselişle başladı
3332028	Erdogan na društvenim mrežama podijelio pjesmu u znak podrške Palestini
3332029	Bitlis'teki Arin Gölü flamingolara ev sahipliği yapıyor
3332031	رئیس‌جمهور ایران یکشنبه عازم نیویورک می‌شود
3332032	Trump, kendisine yönelik "suikast girişimine" müdahale eden Gizli Servis'i övdü
3332033	إسرائيل تضيف عودة سكان الشمال إلى منازلهم لأهداف الحرب
3332034	Bitki çeşitlerinin kayıt altına alınmasına ilişkin esaslar belirlendi
3332036	Faits marquants de l'actualité internationale
3332039	Beyaz Saray, Elon Musk'ın Biden ve Harris hakkındaki açıklamasını "sorumsuzluk" olarak nitelendirdi
3332043	Türkiye'de ağustosta 134 bin 155 konut satıldı
3332044	Japonya'da 100 yaş üstü nüfus ilk kez 95 binin üzerinde
3332047	Ergin Ataman: (Panathinaikos-Maccabi maçındaki pankart) Tepkimi en sert şekilde gösterdim
3332048	В ФБР назвали «чрезвычайно серьезным» инцидент со стрельбой недалеко от Трампа
3332049	China blames US for failure on cease-fire as war on Gaza nears 1 year
3332050	الضفة.. مستوطنون مسلحون يعتدون على رعاة فلسطينيين
3332051	Büyükbaş hayvan sayısı haziran itibarıyla 16,6, küçükbaş hayvan sayısı 54 milyon oldu
3332052	معاملات بورس استانبول با سیر صعودی آغاز شد
3332054	Malaysia reports 1 more mpox, taking toll to 10
3332055	Konut Fiyat Endeksi ağustosta yüzde 3,6 arttı
3332056	قیمت نفت خام برنت به 73.08 دلار رسید
3332057	Jordan says efforts underway to release 2 citizens arrested by Israel after Allenby crossing attack
3332058	Adana'da kırsal mahallede proje kapsamında 5 dekarda başlayan çilek üretimi 900 dekara ulaştı
3332059	Turkish stock exchange up at open
3332061	ABD, Tayvan'a 228 milyon dolarlık askeri ekipman satışına hazırlanıyor
3332062	Floods cause widespread damage in Myanmar, casualties near 300
3332063	ABD'li Intel, Almanya'da çip üretim tesisleri inşaatını erteledi
3332065	لە میانی ئۆپەراسیۆنی گورز-١٤دا دوو تیرۆریست کە لە لیستی داواکراواندا بوون لەچالاکی خران
3332066	واشنطن: نتائج التحقيق بمقتل عائشة نور لا تبرئ الأمن الإسرائيلي
3332067	Amerikalı Senatör Schumer, Kongrenin, Gizli Servisin ihtiyacını karşılaması gerektiğini belirtti
3332068	US army completes withdrawal from Niger: Pentagon
3332069	Di operasyona "Gurz-14"ê da 2 terorîstên ji kategoriya sor û gewr hatin berterefkirin
3332071	İngiltere-AB ticaretinde Brexit sonrası sert düşüş
3332074	Fitch upgrades Tunisia's rating to ‘CCC+’
3332075	США выступили против присутствия ХАМАС и хуситов в Ираке
3332077	Di operasyonên li dijî sazûmaniya ewlehiyê ya FETOyê da ji 41 şikbaran 29 kes hatin binçavkirin
3332079	Güneydoğu Anadolu'dan 8 ayda 2,2 milyar dolarlık hububat ihracatı
3332080	İkinci el araç alışverişinde "Güvenli Ödeme Sistemi" 27 Eylül'den itibaren zorunlu olacak
3332081	Biden telefonon Trumpin pas "tentativës për vrasje"
3332084	الأونروا تحذر من انتشار القوارض والحشرات بقطاع غزة
3332087	Kina smatra SAD odgovornim za neuspjeh u postizanju primirja u Gazi
3332089	Amazon, hibrit çalışma sistemini sonlandırıyor
3332090	Hac ön kayıt ve kayıt yenileme işlemleri 27 Eylül'e kadar uzatıldı
3332091	Türkiye geçen yıl 56,5 milyar dolarlık hizmet ihracatı yaptı
3332093	الذكاء الاصطناعي يقود أحدث إصدارات الهواتف العالمية (تقرير)
3332094	Malezija: Još jedan slučaj majmunskih boginja
3332096	Meta interdit les médias d'État russes sur ses réseaux sociaux Facebook et Instagram
3332099	Израильские военные задержали 10 палестинцев на Западном берегу Иордана
3332100	Meta zabranila ruske državne medije 
3332102	Hillary Clinton calls for indicting Americans spreading Russian election propaganda
3332104	واشنطن: "نشاط حماس والحوثي" بالعراق قد يجره لصراعات إقليمية أعمق
3332105	رشد ارزش سهام در بازارهای بورس اروپا
3332107	Vriten 6 palestinezë në sulmet e ushtrisë izraelite gjatë natës në Gaza
3332108	House sales in Türkiye up 9.9% in August
3332110	Irak Başbakanı'ndan "ABD öncülüğündeki koalisyon güçlerinin görevinin yakında biteceği" mesajı
3332111	Oposición israelí insta a Netanyahu a alcanzar acuerdo de alto al fuego, intercambio de cautivos en Gaza
3332112	Number of centenarians climbs to record 95K in Japan
3332113	YDS başvuruları başladı
3332115	Çamaşır mandalı ve şişten langırt yapan depremzede Eylül'ün hedefi TEKNOFEST
3332117	Türkiye's services exports total $56.5B in 2023
3332118	İzmir Körfez Bilim Kurulu, acil eylem planı için toplandı
3332119	TBMM Başkanı Kurtulmuş, idam edilen Menderes, Zorlu ve Polatkan'ı andı
3332120	مجزرة جديدة.. إسرائيل تقتل وتصيب عشرات وسط غزة وتمنع الإسعاف
3332121	Претседателот Ердоган упати поддршка за Палестина со песната „Бојкот“ создадена со вештачка интелигенција
3332122	Marmara'da ağustos yağışları uzun yıllar ortalamasına göre yüzde 65 azaldı
3332123	Filistin'in işgalinde rol alan mimarların lisansının askıya alınması için kampanya
3332124	Hatay'da 6 Şubat depremlerinin Ölü Deniz Fay Zonu'na etkisi inceleniyor
3332125	Cephede söylediği kahramanlık türküleri dün gibi aklında
3332127	Sosyal medyadan "yardım ilanı" vererek toplanan bağışları DEAŞ ve El-Kaide'ye aktardılar
3332128	Şırnaklı Kore gazisi, komutanından aldığı övgüyü unutmuyor
3332129	Iraq to announce end date for US-led coalition mission 'soon'
3332130	Israeli soldier critically injured in southern Gaza clashes, military says
3332131	Milli forma hedefiyle ameliyat korkusunu yendi
3332132	Emtia yatırımcısı bu yıl kazançlarını altın ile taçlandırıyor
3332133	Ziyaretçilerini Orta Çağ'a götüren Brugge turist yoğunluğundan şikayetçi
3332135	3. Maden Kurtarma Yarışması Kütahya'da başladı
3332136	BM Raportörü, Avrupa ülkelerinin İsrail'e silah satmayı sürdürmesini "talihsizlik" olarak yorumladı
3332137	Türkiye'de firmalar pazarlama, satış ve dağıtım için 5 yılda 4,2 trilyon lira harcadı
3332138	Dünyanın inşaat devlerinin uluslararası gelirleri geçen yıl yarım trilyon doları buldu
3332139	Biden zvao Trumpa nakon "pokušaja atentata", ali ga nije mogao dobiti
3332140	فروش 2257 خانه به اتباع خارجی در ماه اوت
3332141	Cumhurbaşkanı Erdoğan, 14'üncü kez Birleşmiş Milletler Genel Kuruluna hitap edecek
3332143	Kendini korumak için başladığı wushuda dünya şampiyonu olmak istiyor
3332144	Zeytinyağı üreticisi ihracatta kısıtlamanın kaldırılmasından memnun
3332145	Türkiye'nin "Latin Amerika ve Karayipler stratejisi" ticarette meyvelerini veriyor
